0
  Saved OK.
101410a2 : 尽管沉浸在胜利的喜悦里吧…，下一次相会…，必是…汝等的…终…结……
101410e6 : 东土来的圣僧吗？本座在此等侯已久了。
1014110c : 弟子拜见佛祖。
1014111c : 一路上辛苦了，汝等的诚心本座都看在眼底，现在本座就把经文传授与汝等。
10141162 : 望汝等回去后，能够宏扬佛法，造福人间。
1014118a : 弟子领受佛恩！
1014119a : 总觉得哪里不对劲……？
101411b2 : Ａ＋Ｂ
101411ba : →＋Ａ
101411c2 : ↓↑＋Ａ
101411cc : ↓↘→＋Ａ
101411d8 : 空中↓＋Ａ
101411e4 : 空中↓↘→＋Ａ
101411f4 : ←→＋Ｂ
101411fe : 空中→＋Ｂ
1014120a : ↓↑＋Ｂ
10141214 : ↑↓＋Ｂ
1014121e : ↓↘→＋Ｂ
1014122a : ←↙↓↘→＋Ｂ
1014123a : ↓↘→↓↘→＋Ｂ
1014124c : →＋Ｃ
10141254 : ↙↖↗
1014125c : ↑↓＋Ａ
10141266 : ↑↑＋Ｂ
10141270 : ↓↓＋Ｂ
1014127a : ＪＵ↓＋Ａ
10141286 : ＪＵ↓↘→＋Ａ
10141296 : ＪＵ→＋Ｂ
101412a2 : 乱拳
101412a8 : 防御
101412ae : 空中神行
101412b8 : 必杀技（一）
101412c6 : 必杀技（二）
101412d4 : 必杀技（三）
101412e2 : 必杀技（四）
101412f0 : 超必杀技（一）
10141300 : 超必杀技（二）
10141310 : 超必杀技（五）
10141320 : 超必杀技（六）
10141330 : 费尽千辛万苦，唐三藏一行人顺利的取得了经书……
10141360 : 他们把经文献给唐太宗，各自展开了新生活……
1014138c : 故事…似乎到此结束了…
101413a4 : 然而西游记的传说…却没有因此而终止…
101413ca : 从汝等出发至今，本座一直都看在眼底。
101413f0 : 虽然汝等屡遭劫难，但那全是必经的考验，因此本座没有出手搭救。
1014142e : ，汝保护唐僧有功，本座将经文授与汝并封为斗战胜佛。
10141462 : 领受佛恩！
1014146e : ，汝挑担有功，本座将经文授与汝并封为净坛使者。
1014149e : 咦？净坛使者？
101414ae : ，汝登山牵马有功，本座将经文授与汝并封为金身罗汉。
101414e2 : 领受佛恩。
101414ee : 这一路上有劳神君，本座即刻将经文授与汝等，还望神君护送唐僧回东土。
10141532 : 领受金旨。
1014153e : ，汝取去真经，甚有功果，本座将经文授与汝并封为旃檀功德佛。
1014157a : 弟子领受佛恩。
1014158a : ，汝兄长驮负唐僧有功，功过相抵，敖闰可回复原状，不必担心。
101415c6 : 领受佛恩。
101415d2 : ，汝以斩妖除魔为己任，本座将经文授与汝，望汝坚守正道。
1014160a : 领受佛恩。
10141616 : 汝曾意图谋害唐僧，所幸即时悔改，本座将经文授与汝，持续修行，有朝一日必可修成正果。
1014166a : 领受佛恩。
10141676 : ，私下凡间本应受罚，因汝保护唐僧有功，功过相抵，本座不念其过。
101416b6 : 领受佛恩。
101416c2 : 本座深知汝对唐僧情深意重，但神魔殊途，望汝潜心修行，来日修得正果。
10141706 : ……
1014170c : 领受佛恩。
10141718 : 汝等领受经文，回大唐将经交纳，即功德圆满，尔后各归其位。
10141752 : 悟空归了本位，从此长住在天庭……
10141774 : 尽管如此，他仍不改顽皮的本性。过着相当悠闲的生活。
101417a8 : 离开紧张、刺激的生活，八戒一下子懈怠了不少，八戒啊八戒，这样子可不行喔！
101417f2 : 悟净回到了怀念的流沙河……
1014180e : 河里的景物依旧，唯一改变的只有悟净，今后他再也无法回到这里来了。
10141850 : 「再会了…大家……」仿佛能听见悟净这么说。
1014187c : 回到天庭，二郎神并没有给自己休息……
101418a2 : 他和啸天犬仍持续地修行……
101418be : 经过这次旅行之后，二郎神与啸天犬又变的更强了。
101418ee : 龙马如今功过相抵，总算能跟小龙女一起返回龙宫，话虽如此，小龙女压根儿忘了自己是不告而别的……
1014194c : 没想到焦急的西海龙王早就在他们回家的路上等着……
1014197e : 一家人感人的团圆，龙宫也回复以往的和乐。时间并不久，听说数天后，小龙女再度偷跑出来了。
101419d6 : 最后，铁扇还是回到火焰山……
101419f4 : 正当她沉浸在悲伤里头的同时，一双手轻轻地在她的肩上拍了拍，铁扇回头一看，居然是……！？
10141a4c : 不甘一再遭到欺骗，铁扇大扇一挥，将牛魔王连人带墓地卷走。可怜的牛魔王，这下子又不知道被吹往何方。
10141aae : 旅程结束后，紫衣决定不入仙门，继续在人间斩妖除魔。
10141ae2 : 现在…她已经是个能独当一面的剑侠了。
10141b08 : 旅程结束后，嫦娥与玉兔们一起回到月球上。
10141b32 : 但…其中一只玉兔居然是吴刚扮成的！！！
10141b5a : ○※○※○※○※…原来吴刚也是为了保护嫦娥才私下凡间。
10141b92 : 三藏修成正果，被接往西方极乐世界，但他仍不忘百姓疾苦，继续传道布施。
10141bd8 : 他的故事被后人广为流传……
10141bf4 : 旅程结束了，蜘蛛精却只能目送唐三藏一行人离开。
10141c24 : 神魔不两立，伤心的蜘蛛精选择了祝福，然后悄悄地离开。
10141c5a : 因缘际会之下，唐僧找齐了要与他一同前往西方取经的同伴。然而，这些故事只不过是他们漫长旅途中的一小段插曲，下一个地方又会发生怎样的故事呢？说着说着，一座山已经出现在他们面前了，而传入他们耳里的是妖怪大王下令要抓唐僧的消息……
10141d3a : 唐三藏一行人到了一个寸草不生的国家一车迟国。这个国家正为了连日来的干旱而苦，唐僧自然不会坐视不管，在多方打听下，他们查出了幕后主使者，只不过冲动的孙悟空，却在此时答应了对方求雨的赌局，而赌注品居然是重要的通关文牒，这下子他们又要面临怎么样的考验呢？
10141e34 : 唐三藏一行人有惊无险的越过了平顶山，并且来到一处枯林，在他们赶路的同时，竟然听见从枯林中传出一段童谣，一个无助的小女孩赫然地出现在他们面前……
10141ec4 : 揭穿了三仙的假面具，唐三藏一行人解救了车迟国，大地也再度降下了甘霖，他们获得了车迟国国王的谢礼。当然，他们也顺利地拿到了通关文牒，可是追根究底，这一切全是因为悟空一时冲动才衍生出这么多事端，因此他也获得了应得的惩罚。
10141f9e : 唐僧一行人在揭穿了三仙的假面具之后，终于洗刷了自己的罪名，原来这一切的始作俑者正是三仙本人，车迟国王除了感到讶异之外，也对唐僧表达了歉意，而这场大雨连续下了数日，也解决了车迟国的旱灾。拿到了通关文牒，他们继续往西方的方向前进，可是他们不知道，有一双眼睛正在注视着他们……
101420ae : 经过一番缠斗之后，碗子山再度归于平静，唐僧这一行人才知道，唐三藏已经被妖怪们视为无上的滋补品。尽管知道这个事实，唐三藏前往西方取经的心还是没有动摇，他坐在马上，和悟空们静静地往前迈进。
10142168 : 经过一番缠斗之后，碗子山再度归于平静，唐僧这一行人才知道，唐三藏已经被妖怪们视为无上的滋补品。尽管知道这个事实，唐三藏前往西方取经的心还是没有动摇，他坐在马上，和悟空们静静地往前迈进。此时的铁扇走在队伍内不发一语，因为她发现空气中浓浊的妖气，是她熟悉的味道……
1014226e : 离开了枯松涧，唐僧一行人原本以为可以暂时喘口气，没想到此时天空居然飘下大雪，前方的通天河也因此结冰，导致船无法无法航行，更别说渡河了。「师父，我们就用走的渡河吧！」众人心中怀着不安的心情，在悟空的带领下开始渡河，在茫茫大雪之中，没有人察觉脚边结冰的湖面，正传来阵阵的碎裂声响……
10142386 : 红孩儿的出现，完全在铁扇的意料之外，她刻意地减轻力道，就是怕弄伤了红孩儿。在确定红孩儿的安危后，铁扇随即赶上了取经的队伍。只不过白茫茫的大雪却覆盖了她的视线，在一片迷蒙之中，铁扇公主听见从结了冰的湖面传来的阵阵碎裂声……
10142464 : 离开了枯松涧，唐僧一行人原本以为可以暂时喘口气，没想到此时一阵狂风大作，才一瞬间唐三藏就被不知名的力量给掳走。为了救回唐僧，孙悟空一行人往唐僧消失的方向前进
10142502 : 一个村民喊着救命向唐三藏一行人跑来，却在下一秒钟突然消失在他们的面前。他们继续走才发现，一整个村庄的男人在最近接二连三地被不知名的力量给掳走，这会不会是妖怪新的阴谋呢？为了查明真相，唐僧往村民消失的方向前进。
101425d4 : 离开了枯松涧，唐僧一行人原本以为可以暂时喘口气，没想到此时一阵狂风大作，才一瞬间唐三藏就被不知名的力量给掳走。「刚才那是……」蜘蛛精心里已经有个底了。但是为了救回唐僧，蜘蛛精还是往唐僧消失的方向前进……
101426a0 : 唐僧一行人被困在水中，但是在老奄的帮助下，唐僧一行人顺利地渡过通天河，原本以为事情可以告一个段落，但是从远方传来的狮吼声，预告了下一场激烈战斗……
10142734 : 原来蜘蛛精姊妹们只是因为寂寞，所以才到处掳掠男人，只是她们爱人的方式错误，导致这些男人都活不久……看着倒在地上的蜘蛛精，不禁觉得有些悲哀又有些无力，但是取经的路还是要继续下去，在同伴的呼唤之下再度打起精神跟上队伍，继续未完的旅途。
1014281c : 唐三藏为倒在地上的蜘蛛精也为那些尸骇念诵了一段经文，原来蜘蛛精姊妹们只是因为寂寞，所以才到处掳掠男人，只是她们爱人的方式错误，导致这些男人都活不久……只是取经的路还是要继续下去，在大家的护送之下唐三藏再度打起精神，继续未完的旅途。
10142904 : 眼看着妹妹在自己怀抱中逐渐死去，蜘蛛精不禁悲从中来，她完全没想到事情会演变到这种地步，更没想到自己会亲手杀了妹妹。「姊姊…你一定要幸福……」说完这句话，妹妹带着微笑离开人世。只是取经的路还是要继续下去，蜘蛛精跟上了队伍，带着滚滚落下的泪水……
101429f8 : 距离他们的目的地雷音寺越来越近了，但是就在此时发生了一件大事，行李竟然消失无踪，其中还有贵重的通关文牒。不单单是如此，就连孙悟空也不知去向。为了找回行李与悟空，唐僧一行人只好赶紧转往另一个方向前进，而那个方向就是孙悟空诞生的地方一花果山。
10142ae8 : 正当他们赶路的时侯，本来应该在花果山上的小猴子竟然出现在悟空面前讨救兵。但是悟空又怕耽误到取经的时间，于是他先跟着小猴子先回到花果山上。悟空前脚一走，队伍内放置通关文蝶的包袱居然就跟着不翼而飞，原来这一切都是某个妖怪的阴谋……
10142bcc : 三妖怪化成了原形被菩萨收伏，为唐三藏取经的旅途上，再添一椿降妖伏魔的事迹，附近的居民也算是得到了久违的平静。他们来到一座酷热异常的山，一问之下，才知道前方有一座火焰山，若要灭火，就必须借到芭蕉扇，为了能够继续前进，他们决定碰一碰运气。
10142cb8 : 没想到他们下一个阻碍居然是火焰山，铁扇公主看着前方的火焰山，她知道与牛魔王约定的时刻快到了，可是经过日积月累的相处，铁扇发现队伍内的同伴是如此的信任她，没想到的是更残酷的事实即将袭卷而来……
10142d78 : 得到了菩萨的帮助，唐僧一行人顺利地收伏了六耳猕猴，而孙悟空也在此时归队，往西方的旅途才得以继续下去。他们来到一座酷热异常的山，一问之下，才知道前方有一座火焰山，若要灭火，就必须借到芭蕉扇。为了能够继续前进，他们决定碰一碰运气。
10142e5c : 事情解决之后，悟空心满意足地回到队伍内，而队伍此时正被困在某座山的前面，一问之下，才知道此山被称为火焰山，更令人讶异的是，火焰山形成的原因居然就是孙悟空当年大闹天宫遗留下来的祸根。于是，为了弥补自己犯下的错误，孙悟空只好硬着头皮寻求解决之道……
10142f52 : 误会解释清楚之后，悟空再度回到队伍，往西方的旅途才得以继续下去。他们来到一座酷热异常的山，一问之下，才知道前方有一座火焰山，若要灭火，就必须借到芭蕉扇。为了能够继续前进，他们决定碰一碰运气。
10143012 : 孙悟空一行人利用芭蕉扇，对着火焰山连续搧了四十九回，终于把火根给熄灭，恢复了好天气，唐僧一行人也得以继续前进，通过了火焰山，他们听见了远方传来的钟响。
101430aa : 失去一切的铁扇公主，把事情的来龙去脉全都坦白出来，并乞求同伴的宽恕。尽管铁扇公主犯下了这么多错误，唐僧还是决定原谅了她，让她继续跟着队伍走，毕竟她现在已经一无所有了。
10143152 : 取经的路是很漫长的，让小仙来助你一臂之力吧。
10143180 : 在这里小歇一下吧，路途还很遥远呢。
101431a4 : 工欲善其事；必先利其器。
101431be : 请问想换些什么道具呢？
101431d6 : 怒发冲冠
101431e0 : 锁棍劫空击
101431ec : 翻猿烈斗
101431f6 : 斤斗云
101431fe : 倒转阴阳
10143208 : 毫毛变化
10143212 : 七十二变·分身
10143222 : 七十二变·缚火
10143232 : 七十二变·天罡
10143242 : 七十二变·护体
10143252 : 七十二变·怒猿
10143262 : 七十二变·卍式
10143272 : 七里香
1014327a : 震天击
10143282 : 大车轮
1014328a : 千斤坠
10143292 : 地煞功
1014329a : 仙味盖饭
101432a4 : 满汉裂冲破
101432b0 : 波罗波罗炸药
101432be : 香气逼人
101432c8 : 地煞三十二转
101432d6 : 万寿之宴
101432e0 : 扒炸炒溜烧
101432ec : 霜鳞锥刺
101432f6 : 鲤鱼跃
101432fe : 绝水冲
10143306 : 水咆弹
1014330e : 镜花水月
10143318 : 瀑布冲
10143320 : 乱击龙鱼跃
1014332c : 天降甘霖
10143336 : 海河无间
10143340 : 悟净的秘宝袋
1014334e : 排山倒海
10143358 : 悟净·银汉飞星
10143368 : 昆仑发劲
10143372 : 天狼抡空
1014337c : 霸枪·破军
10143388 : 神威浩荡
10143392 : 三途火判
1014339c : 霸枪流星碎
101433a8 : 啸天·荒冲犬
101433b6 : 啸天·六爪扒
101433c4 : 啸天·炼弹
101433d0 : 啸天·灵门响雷
101433e0 : 啸天·斗灵破
101433ee : 啸天·三界灵震
101433fe : 龙背拱身
10143408 : 双翼升
10143410 : 战龙在野
1014341a : 逆鳞刃
10143422 : 无所为惧
1014342c : 九天狂龙
10143436 : 统御之龙
10143440 : 幻象之龙
1014344a : 守护之龙
10143454 : 威压之龙
1014345e : 觉醒之龙
10143468 : 神龙再临
10143472 : 暴风斧
1014347a : 舞风弄月
10143484 : 真空波
1014348c : 空转五裂扇
10143498 : 游风回地
101434a2 : 芭蕉扇
101434aa : 风起云涌
101434b4 : 百击狂乱扇
101434c0 : 霸王风月
101434ca : 芭蕉扇·裂柱击
101434da : 罗刹风翼脚
101434e6 : 九转百裂扇
101434f2 : 掌破
101434f8 : 瞬剑·悬月
10143504 : 瞬剑·炎绝
10143510 : 退魔气劲
1014351a : 御剑·三道赎
10143528 : 御剑·地空
10143534 : 御剑·紫微裁
10143542 : 七之七·花葬
10143550 : 瞬剑·迅尘
1014355c : 禁式·三世劫灭
1014356c : 终剑·天地断
1014357a : 真炼无尘皇劲斩
1014358a : 花想月
10143592 : 与天之伞
1014359c : 圆舞
101435a2 : 吴刚兔
101435aa : 小夜曲
101435b2 : 仙乐飘飘
101435bc : 玉兔·清风
101435c8 : 玉兔·新月
101435d4 : 玉兔·捣杵
101435e0 : 玉兔·狂风暴击
101435f0 : 玉兔·傲霜舞
101435fe : 玉兔·双仪四象
1014360e : 大悲忏
10143616 : 累世轮回
10143620 : 消业除罪
1014362a : 千叶莲花
10143634 : 训诫
1014363a : 三轮体空
10143644 : 净瓶的加持
10143650 : 快马加鞭
1014365a : 观音的庇佑
10143666 : 路遥知马力
10143672 : 大护法
1014367a : 救世血书宝卷
10143688 : 黑弦丝
10143690 : 猎食刃
10143698 : 骇毒杀手
101436a2 : 黄蜂葬
101436aa : 酥筋破脉
101436b4 : 蜈蚣降
101436bc : 坠落的爪牙
101436c8 : 忧郁的刀刃
101436d4 : 从天而降的灾难
101436e4 : 焦虑的咆哮
101436f0 : 万恶的深渊
101436fc : 恐惧的鼓动
